ASIN,大类目,月销量
B0FMJ6NB39,"Patio, Lawn & Garden",443
B0G3X6MK4J,"Patio, Lawn & Garden",439
B0FF4NC64S,"Patio, Lawn & Garden",409
B0G32W6BPJ,"Patio, Lawn & Garden",479
B0G4LRWXL2,"Patio, Lawn & Garden",456
B0FPQ3XHVP,"Patio, Lawn & Garden",448
B0FT13VP5Q,"Patio, Lawn & Garden",469
B0FVSY2B58,"Patio, Lawn & Garden",492
B0FMF4MTPQ,"Patio, Lawn & Garden",464
B0FK4JGRC8,"Patio, Lawn & Garden",478
B0FND9FG1P,"Patio, Lawn & Garden",456
B0G38JFD6K,"Patio, Lawn & Garden",436
B0FX9R2N1L,"Patio, Lawn & Garden",461
B0FRF4YMSG,"Patio, Lawn & Garden",491
B0FQJCL487,"Patio, Lawn & Garden",485
B0FHPN4FKH,"Patio, Lawn & Garden",469
B0DJ77KC3L,"Patio, Lawn & Garden",459
B0FWKQND77,"Patio, Lawn & Garden",405
B0FN45LKY7,"Patio, Lawn & Garden",257
B0FNWPQ668,"Patio, Lawn & Garden",328
