ASIN,大类目,月销量
B0FZB7C21Q,Office Products,383
B0F3WTG2X5,Office Products,471
B0F3WX6G2T,Office Products,490
B0FM8DTLNX,Office Products,452
B0FPFP5GWP,Office Products,499
B0FSZ7F5SH,Office Products,487
B0FM87R94Z,Office Products,485
B0G3PKNPXQ,Office Products,488
B0G2B8XPYD,Office Products,478
B0FS73J4KM,Office Products,383
B0FN3PVBR7,Office Products,426
B0FQNYSH5P,Office Products,449
B0FV86QYTZ,Office Products,459
B0G2XYDVQ9,Office Products,433
B0FF9F35ZP,Office Products,428
B0FXLQSFMZ,Office Products,401
B0FPD6WHD6,Office Products,447
B0FPLTZK88,Office Products,456
B0FV8DBQ2G,Office Products,496
B0FSZ7LP6F,Office Products,479
